id,title,year,country_or_region,source_type,domain,evidence_role,url,notes
S01,"Long-term care for older people: package for universal health coverage",2024,Global,WHO,"LTC framework","Policy framework","https://www.who.int/publications/b/71558","LTC intervention package"
S02,"State of long-term care: a step-by-step implementation guide - data collection template",2024,WHO Europe,WHO,"Digital LTC taxonomy","Policy framework","https://iris.who.int/bitstream/handle/10665/378338/WHO-EURO-2024-10365-50135-75514.pdf?sequence=2","Lists EHR, telecare, decision support, robotics, smart home, monitoring etc."
S03,"Long-term care settings for older people - an analysis covering 38 European countries",2026,Europe,European Commission,"LTC system / innovation","Comparative policy evidence","https://employment-social-affairs.ec.europa.eu/long-term-care-settings-older-people_en","Technology-enabled models included in wider LTC reform"
S04,"介護ロボットの開発・普及の促進",2026,Japan,MHLW,"Care technology / evidence","Official program source","https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000209634.html","Annual reports and effect-measurement materials"
S05,"介護テクノロジーの利用促進",2026,Japan,MHLW,"Care technology taxonomy","Official policy source","https://www.mhlw.go.jp/stf/kaigo-ict.html","Current priority fields and research links"
S06,"「ロボット技術の介護利用における重点分野」を改訂しました",2024,Japan,METI,"Care technology taxonomy","Official policy source","https://www.meti.go.jp/press/2024/06/20240628005/20240628005.html","Nine fields / 16 items from April 2025"
S07,"令和8年度介護テクノロジー等による生産性向上の取組に関する調査及び効果測定",2026,Japan,MHLW,"Evaluation","Official ongoing evidence program","https://www.mhlw.go.jp/stf/newpage_73323.html","Care quality and staff burden outcomes"
S08,"Findings from the 2025 adult social care provider technology survey",2026,England,DHSC,"Adoption / sensors / records","Official statistics","https://www.gov.uk/government/statistics/technology-use-in-adult-social-care-2025-survey-results/findings-from-the-2025-adult-social-care-provider-technology-survey","27% no care technology; sensors 43%; DSCR and rostering common"
S09,"Kingston Council: Using AI in Adult Social Care administration",2025,England,Local Government Association,"GenAI documentation","Operational case report","https://www.local.gov.uk/case-studies/kingston-council-using-ai-adult-social-care-administration","Reported 50-60% reduction in case-note/assessment time; self-reported case study"
S10,"Bradford Council: Supporting the ASC front door with AI digital assistants",2026,England,Local Government Association,"AI information / signposting","Operational case report","https://www.local.gov.uk/case-studies/bradford-council-supporting-asc-front-door-ai-digital-assistants","Includes DPIA, privacy controls and PII redaction"
S11,"St Helens Borough Council – augmenting TEC with AI",2025,England,Local Government Association,"AI TEC / care planning","Operational case report","https://www.local.gov.uk/case-studies/st-helens-borough-council-augmenting-tec-ai","AI-supported TEC matching, cost models and care-plan generation"
S12,"Aged Care Data and Digital Strategy actions and initiatives",2026,Australia,Australian Government,"Digital foundations / AI","Official strategy","https://www.health.gov.au/our-work/aged-care-data-and-digital-strategy/actions-and-initiatives","Data sharing, digital maturity, AI and VR pilots"
S13,"Report year one - Aged Care Data and Digital Strategy 2024-2029",2026,Australia,Australian Government,"AI care planning / AR VR","Official progress report","https://www.health.gov.au/sites/default/files/2026-05/report-year-one---aged-care-data-and-digital-strategy-2024-2029.pdf","AI mobile care-planning prototype and AR/VR training work"
S14,"Virtual nursing in aged care",2026,Australia,Australian Government,"Virtual care","Official pilot","https://www.health.gov.au/our-work/virtual-nursing-in-aged-care","Up to 30 residential homes; independent La Trobe evaluation planned through 2027"
S15,"Digital Transformation Tech Talk – 19 February 2025",2025,Australia,Australian Government / Uniting,"GenAI knowledge / documentation","Provider case presented on official government channel","https://www.health.gov.au/resources/webinars/digital-transformation-tech-talk-19-february-2025","Pain-first use-case selection; 441 policies/procedures; phased security approach"
S16,"Digital Transformation Tech Talk – 31 July 2025",2025,Australia,Australian Government,"Digital maturity","Official research presentation","https://www.health.gov.au/resources/webinars/digital-transformation-tech-talk-31-july-2025","Sector digital maturity baseline"
S17,"Velfærdsteknologi i ældreplejen",2025,Denmark,KL,"Welfare technology scale-up","Municipal association program","https://www.kl.dk/sundhed-og-aeldre/aeldrereformen/implementering-af-aeldrereformen/velfaerdsteknologi-i-aeldreplejen","Scale-up focus including video visits and digital training"
S18,"Teknologiradar 2026 på sundheds- og ældreområdet",2026,Denmark,KL,"Technology adoption / value","Municipal survey / radar","https://www.kl.dk/videncenter/teknologier/kommunernes-teknologiradar-2026/teknologierne-paa-sundheds-og-aeldreomraadet","Video solutions, sensors and RPA reported as high-value technologies"
S19,"Speech at HealthTechX Asia, 6 May 2026",2026,Singapore,Ministry of Health,"AI / community care / data foundation","Official strategy speech","https://www.moh.gov.sg/newsroom/speech-by-mr-tan-kiat-how--senior-minister-of-state--ministry-of-digital-development-and-information---ministry-of-health--at-healthtechx-asia--6-may-2026/","AI as enabler; digital data foundations emphasized"
S20,"NANA AI Initiative",2026,Singapore,Ministry of Digital Development and Information,"Community ageing / AI assistant","Official initiative","https://www.mddi.gov.sg/newsroom/remarks-by-mos-rahayu-mahzam-at-the-launch-of-lions-befrienders--new-neighbourhood-assistant-for-nurturing-ageing--nana--ai-initiative/","Community-based ageing initiative"
S21,"Care & Caregiving: Technology-based dementia assessment and care",2026,United States,National Institute on Aging,"AI / wearables / home sensors","Public research infrastructure","https://www.nia.nih.gov/research/milestones/dementia-care-and-impact-disease/care-caregiving-technology-based-dementia","AI and Technology Collaboratories supporting technology research"
S22,"Artificial intelligence for older people receiving long-term care: a systematic review of acceptability and effectiveness studies",2022,International,Systematic review,"AI in LTC","Peer-reviewed systematic review","https://pmc.ncbi.nlm.nih.gov/articles/PMC8979827/","31 articles; social robots, environmental and wearable sensors; mixed effectiveness"
S23,"The Role of Artificial Intelligence in Enhancing Quality of Care in Nursing Homes: A Rapid Review",2026,International,Rapid review,"AI in nursing homes","Peer-reviewed review","https://pubmed.ncbi.nlm.nih.gov/42278708/","28 studies; clinical, monitoring, wound, nutrition, staffing and barriers"
S24,"Effectiveness Evaluation of Smart Home Technology in Preventing and Detecting Falls in Community and Residential Care Settings for Older Adults",2025,International,Systematic review/meta-analysis,"Falls / smart home","Peer-reviewed meta-analysis","https://pubmed.ncbi.nlm.nih.gov/39521020/","13 studies, 1,941 participants; RR 0.72 for fall incidence"
S25,"Digital Healthcare Approaches for Fall Detection and Prediction in Older Adults",2025,International,Systematic review,"Falls / prediction","Peer-reviewed systematic review","https://pubmed.ncbi.nlm.nih.gov/41303763/","33 studies; clinical benefit inconsistent; false alarms and external validation gaps"
S26,"The impact of care robots on older adults: A systematic review",2025,International,Systematic review,"Care robots","Peer-reviewed systematic review","https://pubmed.ncbi.nlm.nih.gov/40669132/","41 studies; some positive psychosocial outcomes; usability concerns"
S27,"Acceptance of Digital Technology Among Nursing Staff in Geriatric Long-Term Care: Systematic Review",2026,International,Systematic review,"Implementation / workforce","Peer-reviewed systematic review","https://pmc.ncbi.nlm.nih.gov/articles/PMC12807401/","Few eligible studies; competence, usefulness, training and organizational support recur"
S28,"Assessing pain using facial recognition software among Aboriginal aged care residents with cognitive impairment",2023,Australia,Cohort study,"Narrow AI / pain assessment","Peer-reviewed observational evidence","https://pubmed.ncbi.nlm.nih.gov/36847297/","PainChek use in aged care; note product-related author affiliations"
S29,"Policy solutions for balancing affordability for users and fiscal sustainability",2024,OECD,OECD,"LTC technology / barriers","Comparative policy analysis","https://www.oecd.org/en/publications/is-care-affordable-for-older-people_450ea778-en/full-report/component-8.html","AI fall evidence noted inconclusive; cost, privacy and skills barriers"
S30,"The social economy in care with a focus on ageing",2026,OECD,OECD,"Digital LTC / telecare","Comparative policy analysis","https://www.oecd.org/en/publications/social-economy-in-europe_3432de93-en/full-report/component-6.html","Digital tools for matching, administration, workforce planning and remote monitoring"
